Price,Stock Code,Stock Name,Close,High,Low,Open,Volume
Ticker,,,6098.HK,6098.HK,6098.HK,6098.HK,6098.HK
Date,,,,,,,
2020-01-02,6098.HK,碧桂园服务,23.478958129882812,23.973724753241953,23.29904205822122,23.83878855739917,2957091
2020-01-03,6098.HK,碧桂园服务,23.433979034423828,23.793811189729546,23.254064672577847,23.47895891174048,4569374
2020-01-06,6098.HK,碧桂园服务,22.759296417236328,23.433979137697566,22.62436021630546,23.433979137697566,6635790
2020-01-07,6098.HK,碧桂园服务,23.299041748046875,23.658872170772902,22.849253290687642,22.849253290687642,6829769
2020-01-08,6098.HK,碧桂园服务,23.523935317993164,23.793809414335584,22.93921068296138,22.93921068296138,8639757
2020-01-09,6098.HK,碧桂园服务,24.648408889770508,24.87330313459653,23.703853747823988,23.838789951558216,12356562
2020-01-10,6098.HK,碧桂园服务,25.458026885986328,25.63794296151267,24.693387854516526,24.918282091021023,11081178
2020-01-13,6098.HK,碧桂园服务,25.727901458740234,26.26764797915152,25.32309113948005,25.458027340631148,7005512
2020-01-14,6098.HK,碧桂园服务,25.862838745117188,26.267649081363544,25.503008288346514,25.99777495193032,8181387
2020-01-15,6098.HK,碧桂园服务,25.997774124145508,26.177690204705687,25.637943678832052,25.997774124145508,4141286
2020-01-16,6098.HK,碧桂园服务,26.62747573852539,26.942327986699485,26.08772927248505,26.35760164760186,8267997
2020-01-17,6098.HK,碧桂园服务,26.222667694091797,26.942330282059707,25.817859096928782,26.942330282059707,4223420
2020-01-20,6098.HK,碧桂园服务,26.042755126953125,26.492543631972648,25.637944786112765,26.177691335297585,4065875
2020-01-21,6098.HK,碧桂园服务,25.098196029663086,26.042752836619073,25.00823799340916,26.042752836619073,4150888
2020-01-22,6098.HK,碧桂园服务,25.323091506958008,25.503007588308265,24.78334497871415,25.23313346628288,6700391
2020-01-23,6098.HK,碧桂园服务,24.513473510742188,25.143178103762942,23.52393845705542,25.00824017968208,6230503
2020-01-24,6098.HK,碧桂园服务,24.873302459716797,25.008238659789843,24.108661704893706,24.46849385949766,1373541
2020-01-29,6098.HK,碧桂园服务,24.108661651611328,24.333555889838323,23.478958814059858,23.478958814059858,4283474
2020-01-30,6098.HK,碧桂园服务,23.164106369018555,24.468493627577292,22.669339734837987,24.018705154392467,8794575
2020-01-31,6098.HK,碧桂园服务,22.84925651550293,23.70385539142146,22.624362255083003,23.61389734409208,7051880
2020-02-03,6098.HK,碧桂园服务,23.793811798095703,24.10866236832807,22.48942449127877,22.534402653938557,8822276
2020-02-04,6098.HK,碧桂园服务,24.828325271606445,25.053219519146708,23.793812076082624,23.793812076082624,8574999
2020-02-05,6098.HK,碧桂园服务,25.68292236328125,25.81786028434854,25.05321950013064,25.05321950013064,9473731
2020-02-06,6098.HK,碧桂园服务,25.997774124145508,26.22266836694228,25.2781132335186,25.907816083865416,7270941
2020-02-07,6098.HK,碧桂园服务,26.222667694091797,26.357603893146138,25.368070622876413,25.907815419093765,7424103
2020-02-10,6098.HK,碧桂园服务,26.537521362304688,26.67245756844315,25.637944366972324,25.862838615805416,6762076
2020-02-11,6098.HK,碧桂园服务,27.482072830200195,27.66198889142647,26.35760173705278,26.807390174311745,16197365
2020-02-12,6098.HK,碧桂园服务,27.527055740356445,27.88688618670088,27.30216149691531,27.751949983797584,7059373
2020-02-13,6098.HK,碧桂园服务,27.97684097290039,28.24671334731474,27.43709450826498,27.572030695472154,10362671
2020-02-14,6098.HK,碧桂园服务,28.156757354736328,29.10131244934369,27.527054530267034,27.75194876382182,10488148
2020-02-17,6098.HK,碧桂园服务,28.561569213867188,28.966379542591227,27.886886476531743,28.426633009561485,6511399
2020-02-18,6098.HK,碧桂园服务,28.516590118408203,28.921400433893048,28.246716002816015,28.42663207987747,4843437
2020-02-19,6098.HK,碧桂园服务,28.69650650024414,29.236253053626335,28.516592126321406,28.69650650024414,5664559
2020-02-20,6098.HK,碧桂园服务,28.60654640197754,29.14629463242315,28.066801603145674,28.651526279084777,7428011
2020-02-21,6098.HK,碧桂园服务,28.786462783813477,28.786462783813477,27.93186398359626,28.51659038153798,4318089
2020-02-24,6098.HK,碧桂园服务,27.841907501220703,28.516590218867663,27.21220294509412,28.381652302692768,6035200
2020-02-25,6098.HK,碧桂园服务,27.79692840576172,28.156758855466652,27.212203710515336,27.437097956056785,4374941
2020-02-26,6098.HK,碧桂园服务,27.43709945678711,27.976846018770555,27.167227033698897,27.167227033698897,4277217
2020-02-27,6098.HK,碧桂园服务,28.426633834838867,28.651528087146442,27.212204529216567,27.437098781524142,5656822
2020-02-28,6098.HK,碧桂园服务,27.347139358520508,27.841907718133754,26.98730891613344,27.661991639036774,6535822
2020-03-02,6098.HK,碧桂园服务,27.392120361328125,27.886887025456996,26.89735198139229,27.392120361328125,6064519
2020-03-03,6098.HK,碧桂园服务,27.706968307495117,28.336672834586423,27.527053953902456,27.841906217448113,5702721
2020-03-04,6098.HK,碧桂园服务,27.617013931274414,27.9318645011609,27.43709784921906,27.88688633855052,5113307
2020-03-05,6098.HK,碧桂园服务,28.876419067382812,29.011356984140605,27.88688578320492,27.88688578320492,7732808
